id_ies;direccion;telefono;latitud;longitud;id_ciudad
17;AVENIDA CHE GUEVARA Y 16 DE ABRIL;(07) 2830751;-2,752058667;-78,84804043;303
36;AV. JORGE VILLEGAS Y TERCERA TRANSVERSAL;(03) 2488028;-1,807911746;-79,54543667;424
29;AV. ATAHUALPA Y CINCO DE JUNIO;(05) 2623009;-0,624653;-80,42523;434
17;ANTONIO ÁVILA CLAVIJO;(07) 2830751;-2,552343799;-78,94127432;263
7;KM. 11 VÍA A QUITO;(02) 2991700;-0,6338108;-80,03717352;435
29;AV. ELOY ALFARO;(05) 2623009;-0,69700783;-80,10384333;435
53;KILÓMETRO 2 1/2 VÍA BOYACÁ;(05) 2632677;-0,082222;-80,082222;435
29;AV. 3 DE JULIO Y CARLOS ALBERTO ARAY;(05) 2623009;-0,28021049;-79,46215346;436
15;AV. TRANSVERSAL AUSTRAL;(04) 2971876;-2,330301;-79,41019;381
28;AV. JUAN TANCA MARENGO KM. 2 1/2 Y AV. LAS AGUAS;(02) 2985600;-2,147917616;-79,91088789;382
50;KILOMETRO 1,5 VIA LAS VILLEGAS -MONTERREY;(06) 2460702;-0,006082467;-79,45473375;369
17;KILÓMETRO 72 VÍA DURAN TAMBO;(07) 2830751;-2,42022;-79,341717;305
26;CALLE QUIJANO Y ORDOÑEZ ENTRE HERMANAS PÁEZ Y MARQUÉS DE MAENSA INTERIOR DE LA ESPE SEDE LATACUNGA;(02) 3989457;-0,93555308;-78,61160676;334
28;AV. MANUEL AGUSTÍN AGUIRRE Y MERCADILLO (ESQUINA);(02) 2985600;-4,001128516;-79,20512081;409
17;AV. JOSÉ VILLA NUEVA ENTRE AMAZONAS Y SOR MARIA TRONCATI;(07) 2830751;-2,310927415;-78,12134526;454
31;BOLÍVAR 609 E JUNÍN Y TARQUI;(04) 6026608;-3,287869574;-79,94011208;346
4;DON BOSCO CALLE A ENTRE CALLE F Y CALLE G;(03) 2998200;-2,290926945;-78,11403448;275
4;CALLE QUITO Y GASPAR DE CARVAJAL BARRIO PARAISO AMAZONICO;(03) 2998299;-0,63075855;-76,91738439;277
7;CDLA. PRIMERO DE MAYO CALLE EUDORO LOOR S/N;(02) 2991700;-1,037445756;-80,46824055;441
36;ATAHUALPA 5001 Y JACINTO DÁVILA ÚLTIMO PISO DE LA COOPERATIVA AMAZONAS;(03) 2488028;-1,486588934;-77,99621027;470
36;KM. 4 1/2 VÍA A VALENCIA SECTOR LA VICTORIA;(03) 2488028;-1,004761797;-79,44997315;427
46;SECTOR EL PITAL 1 KILÓMETRO 3,5 VÍA VALENCIA;(05) 2735264;-1,007876852;-79,446854;427
13;PINAR ALTO CALLE B N48-177;(04) 2873387;-0,15000005;-78,49900548;480
48;CIUDADELA MILINA, AV. CARLOS ESPINOSA LARREA;(02) 2990800;-2,2235;-80,9403;508
42;AV ALSACIO NORTHIA (SECTOR PLAYA MANN);(05) 2252368;-0,895533;-89,608839;374
24;AVENIDA PRINCIPAL GENERAL JOSÉ GALLARDO ROMAN CIUDADELA LA LIBERTAD KM 1 VÍA A SAN JOSÉ DE CHIMBO;(03) 2206014;-1,701220692;-79,03390055;301
26;HDA. ZOILA LUZ, VÍA SANTO DOMINGO - QUEVEDO KM. 24;(02) 3989457;-0,412875;-79,315374;281
48;KILÓMETRO 14 1/2 VÍA CHONE Y AV. ITALIA;(02) 2990800;-0,23389708;-79,20743094;281
53;RUTA DEL SPONDYLUS;(05) 2632677;-0,620193;-80,423873;440
36;BARRIO SANTA ROSA DE TAQUEZ DETRÁS DEL CUARTEL;(03) 2488028;0,79549975;-77,7447463;314
38;AV. PÍO JARAMILLO Y REINALDO ESPINOZA, SECTOR LA ARGELIA;(07) 2547252;-4,0666;-78,95484;532