Id,id_ies,direccion,telefono,latitud,longitud,id_ciudad
1,1,LADRÓN DE GUEVARA E-11-253,(02) 2562400,"-0,210187","-78,488691",480
2,2,"KM 13,5 DE LA VIA SAMBORONDON",(04) 3703700,"-2,039990397","-79,85818764",393
3,3,10 DE AGOSTO 82 Y GRANDA CENTENO,(05) 2685134,"-0,838278","-80,161163",446
4,4,PANAMERICANA SUR KM1 1/2 RIOBAMBA ECUADOR,(03) 2998200,"-1,655911","-78,680975",325
5,5,"KM. 30,5 VÍA PERIMETRAL",(04) 2269269,"-2,14606","-79,95844",382
6,6,AV. PATRIA Y AV.10 DE AGOSTO,(02) 3946800,"-0,947568","-77,893525",459
7,7,AV. 12 DE OCTUBRE 1076  ENTRE PATRIA Y VEINTIMILLA,(02) 2991700,"-0,210189","-78,491532",480
8,8,ALBERTO EINSTEIN S/N Y QUINTA TRANSVERSAL CARCELÉN,(02) 3974800,"-0,089584","-78,482472",480
9,9,MALECÓN Y AGUIRRE - MUSEO NAHIM ISAÍAS (EDIFICIO DE LA GOBERNACIÓN DEL GUAYAS),(02) 3814550,"-2,19448","-79,880703",382
10,10,PASEO DE LA UNIVERSIDAD NRO. 300 Y JUAN DÍAZ URB. IÑAQUITO ALTO,(02) 3828670,"-0,177114","-78,505033",480
11,11,FRANCISCO PIZARRO E4-142 Y ORELLANA,(02) 3803804,"-0,197267","-78,492213",480
12,12,AV. LOS SARANCES S/N Y PENDONEROS,(06) 2920009,"0,236393","-78,259434",403
13,13,KM. 7 1/2 VÍA A LA COSTA,(04) 2873387,"-2,182946","-79,947597",382
14,14,AV. 12 DE ABRIL Y AGUSTÍN CUEVA CAMPUS CENTRAL,(07) 4051000,"-2,900845","-79,008911",285
15,15,AV. 25 DE JULIO Y JUAN PÍO JARAMILLO VÍA PUERTO MARÍTIMO.,(04) 2493441,"-2,239784","-79,89443",382
16,16,AV. 24 DE MAYO NO. 7-77 Y HERNÁN MALO.,(07) 4091000,"-2,918835","-79,00129",285
17,17,HUMBOLDT Y AV. DE LAS AMÉRICAS,(07) 2830751,"-2,897808651","-78,99956521",285
18,18,"CIUDADELA UNIVERSITARIA, AV. AMÉRICA Y PÉREZ GUERRERO",(02) 2226080,"-0,200436","-78,505027",480
19,19,"AV. LAS PALMAS NO.304 Y CALLE CUARTA, CDLA. MIRAFLORES",(04) 2203278,"-2,167428","-79,917963",382
20,20,AV. CARLOS JULIO AROSEMENA KM 11/2 VÍA A DAULE,(04) 2206951,"-2,181411","-79,905977",382
21,21,MACHALA OE6-160 ENTRE AV. OCCIDENTAL Y JOSÉ CARRIÓN,(02) 6020788,"-0,111683","-78,502591",480
22,22,AV. GRANADOS E12-41 Y COLIMES,(02) 3981000,"-0,202318","-78,485252",480
23,23,"PASO LATERAL S/N, VÍA NAPO KM 2 1/2, LOTIZACIÓN PAMBAY",(03) 2883034,"-1,469389","-77,995956",470
24,24,AV. ERNESTO CHE GUEVARA S/N Y GABRIEL SECAIRA,(03) 2206014,"-1,571116","-79,007278",297
25,25,"VÍA LA PUNTILLA SAMBORONDÓN, KM 2  1/2, CIUDADELA TORNERO III",(04) 2835630,"-2,132897","-79,865909",393
26,26,"CAMPUS POLITÉCNICO, AV. EL PROGRESO S/N, SANTA CLARA SANGOLQUI.",(02) 3989457,"-0,314536","-78,443692",482
27,27,"CIUDADELA UNIVERSITARIA, SALVADOR ALLENDE Y MALECÓN DEL SALADO",(04) 2449796,"-2,181364","-79,898979",382
28,28,"KM. 3 AV. SIMÓN BOLÍVAR, COLLACOTO",(02) 2985600,"-0,246226","-78,473926",480
29,29,CDLA. UNIVERSITARIA VÍA A SAN MATEO,(05) 2623009,"-0,953368","-80,745692",438
30,30,"AV. DE LAS AMÉRICAS, FRENTE AL CUARTEL MODELO",(04) 2287200,"-2,17571","-79,890756",382
31,31,"CIUDADELA GARZOTA PRIMERA ETAPA MANZANA 23 SOLARES 7 Y 8, AV. MIGUEL H. JIJÓN Y AV. GUILLERMO PAREJA ROLANDO",(04) 6026608,"-2,148198","-79,893276",382
32,32,AV. ANTONIO JOSÉ DE SUCRE KM 1.5 VÍA A GUANO,(03) 2364307,"-1,652702","-78,642215",325
33,33,"CHUQUIPATA KM. 8 PANAMERICANA SUR, CANTÓN AZOGUES.",(07) 3133700,"-2,804427","-78,871064",303
34,34,CIUDADELA UNIVERSITARIA KM. 1.5 VÍA KM. 26,(04) 2970881,"-2,149103","-79,603182",383
35,35,KM. 1 VÍA JIPIJAPA NOBOA,(05) 2601387,"-1,350149","-80,564382",437
36,36,KM 5 1/2 VÍA A BAÑOS BARRIO CRISTAL,(03) 2488028,"-1,297526","-78,603795",521
37,37,AV. 9 DE OCTUBRE 1134 Y SANTA MARÍA,(02) 2903573,"-0,198799","-78,493758",480
38,39,AV. UNIVERSITARIA Y ANTISANA S/N,(06) 2224079,"0,80504","-77,734516",314
39,40,CALLE VIEJA 12 - 30 Y ELIA LIUT,(07) 2862213,"-2,886348","-78,989268",285
40,40,CHAMBERS 227 Y LAURA VICUÑA,(07) 2862213,"-2,218991551","-79,88654823",382
41,40,AV. 12 DE OCTUBRE N2422 Y WILSON,(07) 2862213,"-0,20767406","-78,48814691",480
42,41,VÍA LA LIBERTAD - SANTA ELENA,(04) 2780019,"-2,233232","-80,877904",507
43,42,"DIEGO DE ROBLES Y PAMPITE - VÍA INTEROCEÁNICA, CIRCULO DE CUMBAYÁ",(02) 2971801,"-0,196656","-78,43576",480
44,43,AV. METROPOLITANA ELOY ALFARO N.2005 Y AV. OLÍMPICA PORTOVIEJO-MANABÍ,(05) 2935002,"-1,063495","-80,470892",441
45,44,AV. PANAMERICANA KM. CINCO Y MEDIO VÍA PASAJE,(07) 2983365,"-3,245468","-79,965083",346
46,45,AV. COLOMBIA Y CHILE.,(03) 2523039,"-1,234112","-78,616289",521
47,46,"AV. UNIVERSITARIA KM. 1,5 VÍA A MONTALVO",(05) 2735264,"-1,801466","-79,511128",424
48,47,AV. SIMÓN RODRÍGUEZ S/N BARRIO EL EJIDO SECTOR SAN FELIPE,(03) 2810150,"-0,917928","-78,632887",334
49,48,RUMIPAMBA S/N Y AV. ATAHUALPA,(02) 2990800,"-0,183678","-78,493128",480
50,49,GUAYACANES 520 Y LA QUINTA - URDESA CENTRAL,(04) 2884830,"-2,039990397","-79,85818764",382
51,51,KM. UNO Y MEDIO VÍA A SANTO DOMINGO DE LOS TSÁCHILAS,(05) 2757463,"-1,012508","-79,470106",427
52,52,BOLÍVAR 20-35 ENTRE QUITO Y GUAYAQUIL,(03) 2421713,"-1,243037","-78,630464",521
53,52,MACHALA Y SABANILLA,(03) 2421713,"-0,12047709","-78,49836827",480
54,53,AV. UNIVERSITARIA Y CHE GUEVARA,(05) 2632677,"-1,044259","-80,455945",441
55,54,AV. 17 DE JULIO CDLA. UNIVERSITARIA BARRIO EL OLIVO,(06) 2997800,"0,358056","-78,111467",402
56,55,"SAN CAYETANO ALTO, AV. MARCELINO CHAMPAGNAT",(07) 2570275,"-3,986703","-79,198937",409
57,56,SAN MIGUEL DE URCUQUI 100119- YACHAY EP - CIUDAD DEL CONOCIMIENTO,(02) 3949100,"0,404826","-78,174232",406
58,38,"AV. PÍO JARAMILLO Y REINALDO ESPINOZA, SECTOR LA ARGELIA",(07) 2547252,"-4,03294","-79,202548",409