id_ies,direccion,telefono,latitud,longitud,id_ciudad
7,AV. MANUELITA SÁENZ S/N. SECTOR EL TROPEZÓN,(02) 2991700,-1.273819359,-78.63889674,521
7,AV. AURELIO ESPINOSA POLIT Y JORGE GUZMÁN RUEDA. CDLA. LA VICTORIA,(02) 2991700,0.347236037,-78.10681762,402
7,ESMERALDAS. CALLE ESPEJO SUBIDA A SANTA CRUZ. SECTOR SANTAS VAINAS,(02) 2991700,0.971214,-79.656743,268
7,VÍA CHONE KM 2 1/2 Y SAN CRISTÓBAL,(02) 2991700,-0.25674261,-79.1921439,281
8,EL CALVARIO S/N YFRANCISCO COMPTE GUAPULO,(02) 2223688,-0.200075,-78.475378,480
15,AV. JACOBO BUCARAM Y AV. EMILIO MOGNER,(04) 2971876,-2.131402,-79.58273,383
26,CALLE AMBATO Y GRAL. MAZO,(02) 2959141,-0.227136,-78.514815,480
31,AV. CORUÑA N26-95 Y SAN IGNACIO,(04) 6026608,-0.20235565,-78.48332601,480
36,AV. JOSÉ LIZARZABURU 885 Y JOAQUÍN PINTO,(03) 2488028,-1.650237979,-78.66990787,325
36,FLORES 269 Y SALINAS SECTOR CENTRO,(03) 2488028,0.349964492,-78.11451525,402
36,AV. LA LORENA KM 2 1/2 Y AV. DEL COOPERATIVISMO,(03) 2488028,-0.25776171,-79.14599287,281
50,AV. KENNEDY 704 E HILDA PADILLA. SECTOR LAS PALMAS,(06) 2460702,0.973657,-79.665176,268
53,KILOMETRO 12 1/2 VIA A SANTA ANA,(05) 2632677,-1.208343545,-80.38022377,444