Id,id_carrera,id_ies
1,1,5
2,1,53
3,2,20
4,2,26
5,3,31
6,4,43
7,5,43
8,6,31
9,7,3
10,7,4
11,7,5
12,7,7
13,7,19
14,7,17
15,7,20
16,7,18
17,7,14
18,7,26
19,7,16
20,7,24
21,7,34
22,7,35
23,7,41
24,7,29
25,7,30
26,7,32
27,7,38
28,7,39
29,7,40
30,7,43
31,7,44
32,7,53
33,7,54
34,7,50
35,7,55
36,7,49
37,7,52
38,7,11
39,8,51
40,9,21
41,10,48
42,11,2
43,12,2
44,13,2
45,14,2
46,15,2
47,16,2
48,17,28
49,18,22
50,19,31
51,20,48
52,21,20
53,21,22
54,21,55
55,22,20
56,23,36
57,23,52
58,24,44
59,25,31
60,26,20
61,27,48
62,28,55
63,29,55
64,30,51
65,31,48
66,32,11
67,33,24
68,34,49
69,35,3
70,35,18
71,35,38
72,35,39
73,35,50
74,36,13
75,36,37
76,36,38
77,37,26
78,38,13
79,39,8
80,40,31
81,41,31
82,42,31
83,43,38
84,44,1
85,44,3
86,44,4
87,44,15
88,44,23
89,44,24
90,44,32
91,44,53
92,44,54
93,45,31
94,46,4
95,46,15
96,46,24
97,46,43
98,46,44
99,46,53
100,46,51
101,47,7
102,47,20
103,47,23
104,47,35
105,47,41
106,47,39
107,47,54
108,47,51
109,47,55
110,47,48
111,48,5
112,48,16
113,48,39
114,48,43
115,48,45
116,48,51
117,48,55
118,49,43
119,50,43
120,51,40
121,52,7
122,53,7
123,54,5
124,55,7
125,55,17
126,55,20
127,55,18
128,55,14
129,55,27
130,55,22
131,55,16
132,55,28
133,55,29
134,55,30
135,55,32
136,55,25
137,55,8
138,55,20
139,55,43
140,55,55
141,55,48
142,55,52
143,56,22
144,56,48
145,57,10
146,58,43
147,59,14
148,59,9
149,59,43
150,60,18
151,60,38
152,60,25
153,60,44
154,61,55
155,62,7
156,62,14
157,62,9
158,62,43
159,63,55
160,64,18
161,65,20
162,66,5
163,67,38
164,68,38
165,69,24
166,70,27
167,71,53
168,72,52
169,73,17
170,74,5
171,74,18
172,74,27
173,74,56
174,74,23
175,74,29
176,74,43
177,74,55
178,75,16
179,76,7
180,76,41
181,77,56
182,78,7
183,78,18
184,79,29
185,80,4
186,80,14
187,80,44
188,80,55
189,81,22
190,81,26
191,81,8
192,81,40
193,81,6
194,81,43
195,81,45
196,81,54
197,82,36
198,83,31
199,84,7
200,85,7
201,86,20
202,87,20
203,88,29
204,89,29
205,90,17
206,91,7
207,91,55
208,92,55
209,93,17
210,94,47
211,95,55
212,96,47
213,96,55
214,97,55
215,98,55
216,99,17
217,100,15
218,101,10
219,101,25
220,102,25
221,103,7
222,104,7
223,105,10
224,106,44
225,107,19
226,108,19
227,109,19
228,110,19
229,111,22
230,111,10
231,112,52
232,113,27
233,114,7
234,115,9
235,115,43
236,116,22
237,117,14
238,118,7
239,118,17
240,118,27
241,118,13
242,118,24
243,118,34
244,118,28
245,118,31
246,118,32
247,118,46
248,118,47
249,118,11
250,119,22
251,120,22
252,121,20
253,122,8
254,123,7
255,123,27
256,123,30
257,123,31
258,123,39
259,123,50
260,123,49
261,124,48
262,125,12
263,126,26
264,127,29
265,128,7
266,128,44
267,129,20
268,130,26
269,131,1
270,131,3
271,131,5
272,131,15
273,131,20
274,131,16
275,131,25
276,131,39
277,131,40
278,131,43
279,131,52
280,132,7
281,132,10
282,132,24
283,132,41
284,132,28
285,132,29
286,132,40
287,132,43
288,132,55
289,133,43
290,134,8
291,135,19
292,136,7
293,137,7
294,138,7
295,139,22
296,139,25
297,140,19
298,141,8
299,142,7
300,142,17
301,142,20
302,142,18
303,142,27
304,142,16
305,142,38
306,142,45
307,142,46
308,142,47
309,142,44
310,142,55
311,143,19
312,144,19
313,145,19
314,146,19
315,147,28
316,148,28
317,149,28
318,150,17
319,151,7
320,152,36
321,153,4
322,153,7
323,153,17
324,153,20
325,153,18
326,153,14
327,153,26
328,153,16
329,153,24
330,153,35
331,153,41
332,153,28
333,153,29
334,153,30
335,153,32
336,153,38
337,153,25
338,153,40
339,153,45
340,153,46
341,153,47
342,153,44
343,153,53
344,153,50
345,153,55
346,153,49
347,153,52
348,153,11
349,154,24
350,155,31
351,155,54
352,155,51
353,155,48
354,156,27
355,157,20
356,158,49
357,159,34
358,160,20
359,161,37
360,162,9
361,163,32
362,164,9
363,164,25
364,165,14
365,166,7
366,166,17
367,166,20
368,166,18
369,166,14
370,166,27
371,166,22
372,166,12
373,166,16
374,166,13
375,166,24
376,166,41
377,166,28
378,166,29
379,166,30
380,166,31
381,166,32
382,166,38
383,166,25
384,166,8
385,166,20
386,166,36
387,166,43
388,166,45
389,166,54
390,166,55
391,166,52
392,167,2
393,168,2
394,169,2
395,170,2
396,171,12
397,172,27
398,173,28
399,174,7
400,174,17
401,174,14
402,174,30
403,175,43
404,176,45
405,177,20
406,177,16
407,177,43
408,178,45
409,178,48
410,179,16
411,180,5
412,180,7
413,181,7
414,182,52
415,183,4
416,183,5
417,183,7
418,183,27
419,183,12
420,183,16
421,183,31
422,183,32
423,183,20
424,183,43
425,183,54
426,183,52
427,183,11
428,184,47
429,185,22
430,186,45
431,186,48
432,187,19
433,187,25
434,188,7
435,189,51
436,190,7
437,191,7
438,192,16
439,193,43
440,194,5
441,194,7
442,194,17
443,194,20
444,194,18
445,194,14
446,194,27
447,194,22
448,194,10
449,194,16
450,194,13
451,194,28
452,194,29
453,194,30
454,194,32
455,194,38
456,194,25
457,194,43
458,194,45
459,194,53
460,194,54
461,194,51
462,194,55
463,195,15
464,195,51
465,196,44
466,197,27
467,198,2
468,199,49
469,200,44
470,201,17
471,202,6
472,203,7
473,203,35
474,203,47
475,203,51
476,204,17
477,204,20
478,204,22
479,204,34
480,204,40
481,204,43
482,205,7
483,205,14
484,205,16
485,205,24
486,205,41
487,205,29
488,205,31
489,205,32
490,205,33
491,205,40
492,205,45
493,205,46
494,205,47
495,205,44
496,205,53
497,205,54
498,205,52
499,206,19
500,206,29
501,206,33
502,207,7
503,207,19
504,207,17
505,207,18
506,207,14
507,207,26
508,207,16
509,207,24
510,207,41
511,207,29
512,207,30
513,207,31
514,207,32
515,207,33
516,207,25
517,207,20
518,207,40
519,207,45
520,207,46
521,207,44
522,207,53
523,207,54
524,207,52
525,208,22
526,209,24
527,209,33
528,209,40
529,210,27
530,211,27
531,212,1
532,212,5
533,212,17
534,212,40
535,212,53
536,212,54
537,213,1
538,213,4
539,213,5
540,213,16
541,213,41
542,213,40
543,213,43
544,214,41
545,214,55
546,215,17
547,216,20
548,217,1
549,217,17
550,217,20
551,217,14
552,218,36
553,219,48
554,220,7
555,220,17
556,220,20
557,220,18
558,220,14
559,220,27
560,220,22
561,220,24
562,220,35
563,220,41
564,220,29
565,220,32
566,220,38
567,220,39
568,220,36
569,220,45
570,220,46
571,220,44
572,220,53
573,221,4
574,221,5
575,222,14
576,222,45
577,223,16
578,224,7
579,224,17
580,225,40
581,226,4
582,226,17
583,226,18
584,226,28
585,226,43
586,226,45
587,226,49
588,226,11
589,227,28
590,228,26
591,229,48
592,230,20
593,231,1
594,231,4
595,231,56
596,231,43
597,232,22
598,233,14
599,234,17
600,235,4
601,235,7
602,235,14
603,235,21
604,235,27
605,235,22
606,235,37
607,235,28
608,235,36
609,235,43
610,235,54
611,235,55
612,235,48
613,236,6
614,237,1
615,237,5
616,237,56
617,238,55
618,239,40
619,240,17
620,241,7
621,241,25
622,241,43
623,241,44
624,241,55
625,242,10
626,243,31
627,244,19
628,245,28
629,246,49
630,247,4
631,248,27
632,248,31
633,248,20
634,248,51
635,249,20
636,250,49
637,251,49
638,252,20
639,253,7
640,254,49
641,255,40
642,256,7
643,257,19
644,258,13
645,259,32
646,259,25
647,260,28
648,261,41
649,262,19
650,263,7
651,264,7
652,265,27
653,266,21
654,266,22
655,266,37
656,266,43
657,266,2
658,267,7
659,267,14
660,267,29
661,268,7
662,268,29
663,268,46
664,268,50
665,268,55
666,269,22
667,270,14
668,271,27
669,271,50
670,271,55
671,272,44
672,273,3
673,273,38
674,273,53
675,274,15
676,275,5
677,276,7
678,276,20
679,276,29
680,276,47
681,276,51
682,276,48
683,277,22
684,278,15
685,278,17
686,278,18
687,278,14
688,278,27
689,278,38
690,278,46
691,278,47
692,278,50
693,279,26
694,279,29
695,279,46
696,279,51
697,280,1
698,280,3
699,280,4
700,280,15
701,280,17
702,280,18
703,280,14
704,280,27
705,280,23
706,280,35
707,280,32
708,280,8
709,280,40
710,280,43
711,280,51
712,281,22
713,282,48
714,283,4
715,283,26
716,283,16
717,283,40
718,283,54
719,283,48
720,284,17
721,285,45
722,286,1
723,286,5
724,286,7
725,286,17
726,286,20
727,286,18
728,286,14
729,286,27
730,286,26
731,286,35
732,286,41
733,286,29
734,286,30
735,286,32
736,286,25
737,286,40
738,286,43
739,286,45
740,286,44
741,286,53
742,286,55
743,287,16
744,288,22
745,289,17
746,289,48
747,290,1
748,291,16
749,292,47
750,293,18
751,294,18
752,294,48
753,295,7
754,295,17
755,295,14
756,296,7
757,297,22
758,298,14
759,298,29
760,298,47
761,298,50
762,299,38
763,299,48
764,300,17
765,301,20
766,302,22
767,303,31
768,304,54
769,305,44
770,306,6
771,307,1
772,308,18
773,309,35
774,310,51
775,311,18
776,312,51
777,313,20
778,314,26
779,314,47
780,315,26
781,316,26
782,317,14
783,317,26
784,317,32
785,317,38
786,318,18
787,319,38
788,320,52
789,321,4
790,322,18
791,322,13
792,323,53
793,324,28
794,325,47
795,326,38
796,327,38
797,328,54
798,329,54
799,330,28
800,330,38
801,331,29
802,332,28
803,333,16
804,334,27
805,335,31
806,336,41
807,337,26
808,338,38
809,339,22
810,340,54
811,341,29
812,342,22
813,343,51
814,344,8
815,345,7
816,345,29
817,345,38
818,345,51
819,345,52
820,346,27
821,347,27
822,347,34
823,347,49
824,348,45
825,349,27
826,350,22
827,351,2
828,352,2
829,353,53
830,353,50
831,354,2
832,355,32
833,356,26
834,357,20
835,358,27
836,359,51
837,360,31
838,361,7
839,362,18
840,363,4
841,363,23
842,363,35
843,363,38
844,363,54
845,363,51
846,363,50
847,364,26
848,365,27
849,366,7
850,367,4
851,367,5
852,367,17
853,367,14
854,367,27
855,367,34
856,367,41
857,367,29
858,367,32
859,367,40
860,367,43
861,367,45
862,367,47
863,367,53
864,367,54
865,367,51
866,367,55
867,367,52
868,368,48
869,369,48
870,370,1
871,370,18
872,371,1
873,371,26
874,371,51
875,371,50
876,372,8
877,373,8
878,374,8
879,375,26
880,375,48
881,376,5
882,377,1
883,377,4
884,377,5
885,377,17
886,377,18
887,377,14
888,377,27
889,377,43
890,377,44
891,377,53
892,377,50
893,377,55
894,378,8
895,379,50
896,380,43
897,381,7
898,381,44
899,382,14
900,382,35
901,382,38
902,382,45
903,382,53
904,383,32
905,384,18
906,385,27
907,386,8
908,387,16
909,388,54
910,389,18
911,390,14
912,391,34
913,392,34
914,393,26
915,394,18
916,395,2
917,396,2
918,397,2
919,398,34
920,398,32
921,399,31
922,400,31
923,401,27
924,402,54
925,403,34
926,404,5
927,405,7
928,406,54
929,407,43
930,408,34
931,408,54
932,409,17
933,410,17
934,411,14
935,412,34
936,413,18
937,414,21
938,415,38
939,416,5
940,417,34
941,418,54
942,419,4
943,420,32
944,421,5
945,422,54
946,423,5
947,424,17
948,425,54
949,426,34
950,427,7
951,427,34
952,428,7
953,429,9
954,430,27
955,431,5
956,431,39
957,432,4
958,433,4
959,433,17
960,433,20
961,433,14
962,433,22
963,433,34
964,433,28
965,433,20
966,433,51
967,433,48
968,434,27
969,435,25
970,436,1
971,436,4
972,436,5
973,436,56
974,436,43
975,437,5
976,438,4
977,438,5
978,438,40
979,438,43
980,438,45
981,438,53
982,439,5
983,439,40
984,439,54
985,440,4
986,440,7
987,440,17
988,440,20
989,440,18
990,440,27
991,440,22
992,440,16
993,440,28
994,440,29
995,440,32
996,440,25
997,440,36
998,440,43
999,440,45
1000,440,53
1001,440,54
1002,440,55
1003,440,48
1004,441,38
1005,442,17
1006,442,18
1007,442,24
1008,442,40
1009,442,43
1010,442,45
1011,442,46
1012,442,47
1013,442,53
1014,443,15
1015,443,20
1016,443,14
1017,443,27
1018,443,22
1019,443,38
1020,443,44
1021,444,14
1022,445,4
1023,445,17
1024,445,26
1025,445,16
1026,445,24
1027,445,28
1028,445,29
1029,445,30
1030,445,43
1031,445,45
1032,445,44
1033,445,54
1034,445,49
1035,445,52
1036,446,7
1037,447,4
1038,447,5
1039,448,7
1040,449,22
1041,450,22
1042,451,22
1043,452,20
1044,452,22
1045,452,10
1046,452,25
1047,453,56
1048,454,5
1049,454,22
1050,454,28
1051,455,22
1052,456,20
1053,457,7
1054,458,4
1055,458,14
1056,458,37
1057,458,25
1058,458,43
1059,458,46
1060,458,53
1061,459,28
1062,460,18
1063,460,27
1064,460,46
1065,461,5
1066,462,17
1067,462,20
1068,462,18
1069,462,14
1070,462,27
1071,462,22
1072,462,10
1073,462,28
1074,462,29
1075,462,32
1076,462,38
1077,462,20
1078,462,36
1079,462,43
1080,462,48
1081,463,46
1082,463,53
1083,464,45
1084,465,14
1085,466,3
1086,467,40
1087,468,17
1088,468,18
1089,468,14
1090,468,27
1091,468,26
1092,468,32
1093,468,45
1094,468,46
1095,468,44
1096,468,53
1097,468,54
1098,469,18
1099,469,14
1100,469,32
1101,470,18
1102,470,14
1103,470,29
1104,470,32
1105,471,14
1106,471,32
1107,471,54
1108,472,18
1109,472,14
1110,472,27
1111,472,24
1112,472,29
1113,472,32
1114,472,38
1115,472,46
1116,472,44
1117,472,53
1118,472,54
1119,473,18
1120,473,14
1121,473,41
1122,473,29
1123,473,30
1124,473,32
1125,473,45
1126,473,44
1127,473,53
1128,473,54
1129,473,55
1130,474,30
1131,475,7
1132,476,19
1133,476,22
1134,476,30
1135,476,8
1136,476,43
1137,476,48
1138,477,19
1139,478,19
1140,479,25
1141,480,1
1142,480,5
1143,481,56
1144,482,2
1145,483,56
1146,484,18
1147,485,11
1148,486,9
1149,486,43
1150,487,5
1151,487,37
1152,487,43
1153,488,20
1154,489,20
1155,490,27
1156,490,34
1157,490,28
1158,490,29
1159,490,8
1160,490,40
1161,490,43
1162,490,53
1163,490,54
1164,490,55
1165,490,52
1166,491,7
1167,491,20
1168,491,18
1169,491,14
1170,491,16
1171,491,32
1172,491,38
1173,491,25
1174,491,45
1175,491,46
1176,491,44
1177,492,40
1178,493,7
1179,493,18
1180,493,14
1181,493,45
1182,494,16
1183,495,38
1184,496,18
1185,496,45
1186,497,38
1187,498,18
1188,499,49
1189,500,22
1190,501,22
1191,502,7
1192,502,20
1193,502,16
1194,502,25
1195,502,8
1196,503,14
1197,504,18
1198,504,22
1199,504,10
1200,504,30
1201,504,32
1202,504,45
1203,504,44
1204,504,54
1205,505,38
1206,506,22
1207,506,30
1208,506,43
1209,507,48
1210,508,27
1211,509,4
1212,509,18
1213,509,56
1214,510,18
1215,511,18
1216,512,18
1217,513,29
1218,514,4
1219,515,43
1220,516,55
1221,517,48
1222,518,48
1223,519,29
1224,520,29
1225,520,53
1226,521,46
1227,522,47
1228,523,17
1229,524,36
1230,524,46
1231,525,17
1232,525,27
1233,525,31
1234,525,11
1235,526,25
1236,527,55
1237,528,7
1238,529,18
1239,529,14
1240,529,27
1241,529,24
1242,530,7
1243,531,7
1244,532,7
1245,533,44
1246,533,50
1247,534,1
1248,534,4
1249,534,17
1250,534,24
1251,534,37
1252,534,54
1253,534,49
1254,535,25
1255,536,18
1256,537,11
1257,538,1
1258,538,5
1259,538,56
1260,538,26
1261,538,12
1262,538,35
1263,538,41
1264,538,45
1265,538,44
1266,538,49
1267,539,1
1268,539,4
1269,539,5
1270,539,25
1271,539,40
1272,539,45
1273,539,54
1274,539,49
1275,539,11
1276,540,5
1277,541,7
1278,541,17
1279,542,27
1280,542,18
1281,542,29
1282,543,7
1283,543,20
1284,543,18
1285,543,14
1286,543,45
1287,544,32
1288,545,18
1289,545,27
1290,545,29
1291,546,27
1292,546,46
1293,547,54
1294,548,17
1295,548,18
1296,548,14
1297,548,29
1298,548,38
1299,548,45
1300,548,44
1301,548,53
1302,548,50
1303,549,20
1304,550,17
1305,551,27
1306,552,3
1307,552,4
1308,552,5
1309,552,7
1310,552,14
1311,552,22
1312,552,16
1313,552,23
1314,552,24
1315,552,35
1316,552,37
1317,552,29
1318,552,39
1319,552,36
1320,552,45
1321,552,54
1322,552,49
1323,552,11
1324,553,18
1325,554,18
1326,555,27
1327,555,31
1328,555,45
1329,556,4
1330,556,53
1331,556,51